HolderAddress,Balance
0x0036c7af6d7d474b8bb4ada0e9a9b4ff84000ba5,0.889085254
0x003bc9adfa105841035a19634bda16444894944d,17.22170475
0x003dbd752b931fabaf730b2bf5f9bc980b7c1583,2.89E-09
0x003f35595dce3187b4fff2b5a2c4303f7158208a,1
0x004098bb5b1d5285e4347bfebfe65b36d20fc697,24.79514337
0x004a755ac7de031ef8bbf888886ee0cef937766c,0.01
0x004afb002e3fb33c833fc16b6b63103bbf97312d,19.53165724
0x004c350cd1ab72ea28cd6c47935b5bb31f64a928,503.2191254
0x0056c758a4cbac5e2165dd9a10cff8ad619a7c6d,8.408236566
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,35.45172962
0x00594b8b680439c33fd3e6b3270e73c27f93c53a,5.825766759
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,459.2800448
0x0062fb72d128699a70afdad4b7bafb2cde128913,2061.342617
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,230.0849053
0x0067d567bfeaecb819ca25ca37f35078ff4634ca,0.959628713
0x006f55a2a2b756f81940d0ffead21556948e5c89,401.469668
0x00728ebff05232667b327276be4304670cd5b5af,14.50034036
0x00744dbb48a795d14ec1e5e2a7e54fec75057c2f,19.5935565
0x00778698bbc902543b596af6e7c0aa13b614162d,39.2269593
0x0077f2c8452eb223d573bc9931f341fb1711bdd5,445.9931544
0x007a22b3ffe5931a53e14cb3832ced49e45cc316,313.3866319
0x007c9e2bf15c55e62910a1b2e3078d9ae821190d,0.01
0x0080441a8bf0bb6c463a0517660482f1c574930e,854.7071364
0x00854ae0458db1edc29ef6699fd971453bf77686,0.01
0x0085d428ac99c42b30cb38373b1c233846891c9a,9.69E-09
0x0086360bd0e9388957945f138c23dc681dba233e,19.58716435
0x008b09c232b799d6b39d45f18c571f9a25c93ad9,6.036763344
0x008fc03ab38dbab52829e6a7c25969b14c0a14e3,0.01
0x009154b39ca41372df54564fb8ff2c437a83c411,6.070334561
0x009980d23034de516063bbb332e294f4b418a156,21.63937441
0x00a0708644a2ff370748fd9f1757134543a27e02,83.86023254
0x00a0847926a77692495774f1c71ba8abef99dd52,105.4781585
0x00a1b616a61227c00923a845700a16e095348b14,709.7831176
0x00a41d12c8756b460cc31d822298064d3795867f,1
0x00ad1354b9dba27efe6385ab1024d4e8ad64e775,500.038366
0x00afc7169860932ad7181cb82b795067850b3ef1,529.0939663
0x00aff6d5bcd342a3fc51419997b13b8ee0f75bcb,10.03938983
0x00b3029753e32f3c77fc9649b5499f525a0ebcda,0.01
0x00b40586d78009c79e8af77fbefb3574d9f25bd3,83.53200112
0x00bc2acf9405f85fb69c0b0e367351f6892bdfcf,0.996783994
0x00bcb8767ad738d16c2ae34f5313e4b517f736e0,0.01
0x00bfc5debe2ea599e0227cef25b3c90416412f44,122.2235618
0x00c067236f84fd88112d82e48fac4debea1e1a5b,19.86403801
0x00c07e76d5fb7e2cd44e39363cb9400095902902,171.6004037
0x00c67d9d6d3d13b42a87424e145826c467cccd84,5.626760719
0x00c95cf3b3b6a613996febf60ba16742ce63f78e,0.05
0x00c97dbcc130b0f9a0bb98f0ac2ab7b6a9ce627c,40.44596955
0x00c9b4fa75eea8b64cf13f07923c432f62cade68,0.074719808
0x00ca0dd9f03432eb4974427c9ce96feaead5ab83,670.1035823
0x00cb2fa2a481d62230ec1cf3b1315656e18b60c0,0.01
0x00d2e45938811353506a12cb7a0bde2a50e0947b,12.40082515
0x00d7075bd0a80593a587ff7424b19ba49cbf845c,0.01
0x00dc7ce05f2370ba9bc6c39db9beffd6d2736d2f,72.77118469
0x00e4846e2971bb2b29cec7c9efc8fa686ae21342,4.31514224
0x00ea80f95ed91e061ed413335587642eea5cd00c,516.560013
0x00efa53976da6b4e0534803b57e97d19cc3e675a,26.71546962
0x00f2add0fbad53767760f0bc75a6e8a669af5ed0,35.57457479
0x00f417ce7ecb658c5d6a10c1730e05c3df34aa3c,42.22928189
0x00fee07b739f0d81cc8243d0483c527cea7a8307,58.32710519
0x01039fdd4d2cec94e3625e3962e817ea8f51a2a8,2949.695419
0x01071037935e645ec57acbfc2ae793873893c5c8,0.133928531
0x0114e9cfe071c83fdb71887d41d41488c12a0dc7,89.35763378
0x0117b6f415be6cefc95a343b24cbb69bffc03441,9.074788226
0x0119b5cd310308f698a0f334d2183030f78c1ffc,9.86554197
0x01222a114552e89e4c548170f8c1f4d5460d255a,5.67E-09
0x0127a4df9ed11552e128d09f8c5685e1b534221b,59.64047581
0x012f4aa745824d711027f163760294e4e6dba930,18.48384833
0x0132cef602920482c0b488de0edadff74df17c88,2344.52124
0x013c0f2ad613201c849e975ac87263828fcc97cd,0.119
0x013c7a3c90f3e4642493c235892ef3a8e5738b77,0.00189689
0x013e5accf6ccca896e730027fd4e3d5ed8e8dbb1,2124.532033
0x0142db3cb85705bc9baab5911dde04385053f5b3,0.003
0x0142e4d48edcc2004f051badd69e64c110769244,1.677203505
0x014a1ce77c1b5a8483b521a88f88df81fd929aeb,37.46902092
0x014a4884a7ac992688fce6e5b78bb19e67d33216,117.8044905
