,num_USDC_deposits,num_USDC_withdrawals,aUSDC_balance,30_day_log10_aUSDC_num_transactions,90_day_log10_aUSDC_num_transactions,180_day_log10_aUSDC_num_transactions,log10_aUSDC_avg_size,num_USDC_borrows,num_USDC_repayments,variableDebtUSDC_balance,30_day_log10_variableDebtUSDC_num_transactions,90_day_log10_variableDebtUSDC_num_transactions,180_day_log10_variableDebtUSDC_num_transactions,log10_variableDebtUSDC_avg_size,flash_loan,stkAAVE_balance,stkAAVE,xSUSHI_balance,xSUSHI,num_aave_gov_votes,aave_voter,total_aave_rewards,total_claim_actions
0x7e1cb685345fcd68861cf2ba3e2e4c681fd4d326,1.0,1.0,1.0,0.0,0.0,0.0,0.27686695664792965,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e1dcf785f0353bf657c38ab7865c1f184efe208,1.0,1.0,1.0,0.0,0.0,0.0,0.05738611810901804,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e204283c12687b8f657bc0dd254ffe79dfd4028,1.0,1.0,0.0,0.0,0.0,0.0,3.8270850086899606,1.0,1.0,2.0,0.0,0.0,0.0,3.8195439355418688,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e26de29129fd1ae5f095a3fffa77aa456fb2c78,1.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,4.777910041400724,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e27695785debe4e69ab12286396a1ac5f546f53,1.0,1.0,1.0,0.0,0.47712125471966244,0.47712125471966244,2.8192135368376112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e29fba665b033becaaaa5e9b7ab04bc4859060e,1.0,1.0,0.0,0.47712125471966244,0.6020599913279624,0.6020599913279624,4.980088147582817,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e2c5b3ee916247878d473f1e6d6236f5d0fb1f8,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,4.522985878446422,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e318b0c33e97acb4de0755d0dfc40714e16caaa,1.0,1.0,1.0,0.0,0.0,0.0,3.6989700043360187,1.0,1.0,0.0,0.0,0.0,0.47712125471966244,3.5228995436662034,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e333ad826395d09230e0e6463f986a1f90c6a7f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,4.275413034430319,True,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e341e97029ddd5940057dc9dc3e59a54e5008e2,2.0,1.0,4.0,0.0,0.0,0.8450980400142568,3.6753702809258018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,0.0,False,0.0,False,0.0,0.0
